company,job_title,company_rating,job_description,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
Angel broking,Data Scientist 2,4.2,"About Us
Angel One Limited (formerly known as Angel Broking Limited) is a Fintech company providing broking services, margin trading facility, loan against shares, research services, depository services, investment education and financial products distribution to its clients, on a mission to become the No. 1 fintech organization in India. With more than 11 million registered clients and over 28 million app downloads, we are onboarding an average of about 400K new clients every month. We are working to build personalized financial journeys for our clients via a single app, powered by new-age engineering tech and Machine Learning. We are a group of self-driven, motivated individuals who enjoy taking ownership and believe in providing best value for money to investors through innovative products and investment strategies. We apply and amplify design thinking with our products and solution. We have a flat structure, with ample opportunity to showcase your talent and a growth path for engineers to the very top. We are remote-first, with people spread across the country. Come on Onboard, to become a part of this epic journey! We are aggressively hiring Engineers, Product Managers & Data science rockstars across India.. check out our career’s sections!
About The Role
About Angel One :
Angel One (formerly known as Angel Broking) is a technology and data driven financial services company providing broking and advisory services, margin funding, loans against shares and financial products distribution to its clients. We are onboarding more than 500K new users every month & we are one of the fastest growing fintech organisations in India with more than 2 Mn monthly active users. We have received several awards, certificates and accolades for our services, products, technology, and digital initiatives. We have also been recognized among the best places to work. Angel Broking Limited is now a listed entity (IPO 2020).
We are a group of self-driven, motivated individuals who enjoy taking ownership. It is a flat structure, with ample opportunity to showcase your talent, and a growth path for engineers to the very top. We are remote-first with people spread across Bangalore, Mumbai, UAE, and the US.
Angel One – https://www.linkedin.com/company/angelone/
Job Description
The data science team at AngelOne aims to produce top-quality work that makes a positive impact on our business. We are looking for experienced self-driven data scientists who match these ideals. The candidate should be adept at discovering insights from large datasets and providing data-driven solutions to business units. Together with a strong technical background, they should fundamentally be curious, creative, and possess a keen sense of observation. They must also have excellent comprehension and communication skills to understand business use-cases and present their findings to stakeholders.
Responsibilities
Understand data landscape
Perform ad-hoc analysis and present results in a clear manner
Develop and test hypothesis in collaboration with domain experts
Work on the full lifecycle of machine learning development including sourcing, dataset curation, feature engineering, model training, model tuning, and offline & online experimentation
Understand business problems and evaluate fitment of technical solutions to the problem statement
Evaluate effectiveness of solutions and work toward its continuous improvement
Requirements / Skills
Strong programming skills with minimum 4 – 7 years of experience in Python
Experience working with databases and expert knowledge of SQL
Proficiency in statistical ML algorithms and statistics analysis methods
Good knowledge of machine learning tools such as Scikit-Learn, Pytorch/Tensorflow
Knowledge of visualisation tools
Strong analytical and critical thinking skills
Great communication skills
Learning mindset
Experience in Deep Learning applications is a plus
Experience with Big Data technologies, e.g.: Spark, Hive, and Presto, and ETL pipelines is a plus
Must Have
Must have good communication skills and analytical ability
Statistical and core ML algorithm knowledge must be strong
Good programming skills
Enthusiasm to learn
Working With Us
We strive to help millions of Indians make informed investment decisions. We constantly are in search of the brightest, most talented individuals to join our world-class team. We give each of our teammates the freedom to ideate, innovate, express, solve and create customer experience through #Fintech & #ConsumerTech. With our continuous learning interventions and upskilling, we carved out the best of each of our teammates.
Benefits
We have a “work-from-anywhere” policy.
We have flexible work timing and fast-track promotions for all our employees.
Our employees enjoy highly competitive pay structures. One of the best!
AngelOne has been 6-time certified as a “Great Place To Work” culture.
Long & Short term incentives to reward our team members for their efforts.
Enjoy benefits like: Annual Leaves, Insurance Mediclaim, Variable Pay plans, internet allowance and many more.
Location
Work From Anywhere in India
Work Type
full-time
Department
Data and Analytics",India,539530.5,/yr (est.),1001 to 5000 Employees,1987,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable,4.1,4.0,4.1,3.9,4.1
PayU,Data Scientist,3.7,"About PayU
PayU, a leading payment and Fintech company in 50+ high-growth markets throughout Asia, Central and Eastern Europe, Latin America, the Middle East and Africa, part of Prosus group, one of the largest technology investors in the world is redefining the way people buy and sell online for our 300.000+ merchants and millions of consumers.

As a leading online payment service provider, we deploy more than 400 payment methods and PCI-certified platforms to process approximately 6 million payments every single day.

Thinking of becoming a PayUneer and you are curious to know more about us? Read more about the life in PayU here

Job Description:
We are looking for a senior data scientist in the PayU Finance intelligence team who will be primarily responsible for modeling complex problems, discovering insights, and identifying opportunities through the use of statistical, algorithmic, mining, and visualization techniques. Your primary focus will be to propose innovative ways utilizing various data sources and analytics to look at the problems by applying data mining techniques, doing statistical analysis, validating your findings using an experimental and iterative approach, and building high-quality prediction systems integrated with our services. You will need strong business understanding, analytical and problem-solving skills, and programming knowledge.Responsibilities:Design experiments, test hypotheses, and build models utilizing the traditional datasets and graph data.Apply advanced statistical and predictive modeling techniques to build, maintain, and improve on multiple real-time decision systems.Identify what data is available and relevant, including internal and external data sources, leveraging new data collection processes such as geo-location or social mediaUtilize patterns and variations in the volume, speed and other characteristics of data for predictive analysis.Define the preprocessing or feature engineering to be done on a given dataset, data augmentation pipelines, trainingmodels and tuning their hyperparameters, analyzing the errors of the model and designing strategies to overcome themSelecting features, building and optimizing classifiers using machine learning techniquesExtending company’s data with third party sources of information when neededCreating automated anomaly detection systems and constant tracking of its performance

Skills and Qualifications:Bachelors in mathematics, statistics or computer science or a related field; Masters or PHD degree preferred.2+ years of relevant quantitative and qualitative research and analytics experience.Extensive knowledge of statistical techniques.Ability to come up with solutions to loosely defined business problems by leveraging pattern detection over potentially large datasets.Proficiency in statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing, and optimization algorithms.Proficient in deep learning (CNN, RNN, LSTM, attention models, etc.), machine learning (SVM, GLM, boosting, random forest), graph models and reinforcement learning Experience with open source tools for deep learning and machine learning technology such as Keras, tensorflow, pytorch, scikit-learn, pandas, etc.Strong programming skills (Hadoop MapReduce or other big data frameworks, Java, Python), statistical modeling (R, Python, SAS), query languages such as SQL, Hive, PigFamiliarity with basic principles of distributed computing and distributed databases.Demonstrable ability to quickly understand new concepts - all the way down to the theorems - and to come out with original solutions to mathematical issues.Tracks and manages changes in a model and related development scripts (Version Control). Maintain changes and modifications over time.Should have experience in all aspects of data science life cycle - Manage, Develop, Deploy, Monitor, track modelsUnderstanding of Cloud Platforms (AWS) and ability to use them for developing, training and testing models

About us
At PayU, we are a global fintech investor and our vision is to build a world without financial borders where everyone can prosper. We give people in high-growth markets the financial services and products they need to thrive. Our expertise in 18 high-growth markets enables us to extend the reach of financial services. This drives everything we do, from investing in technology entrepreneurs, to offering credit to underserved individuals, to helping merchants buy, sell and operate online. Being part of Prosus, one of the largest technology investors in the world, gives us the presence and expertise to make a real impact. Find out more www.payu.com

Our Commitment To Building A Diverse And Inclusive Workforce
As a global and multi-cultural organization with varied ethnicities thriving across locations, we realize that our responsibility towards fulfilling the D&I commitment is huge. Therefore, we continuously strive to create a diverse, inclusive and safe environment, for all of our people, communities and customers. Our leaders are committed to create an inclusive work culture which enables transparency, flexibility and unbiased attention to each and every PayUneer so they can succeed, irrespective of gender, color or personal faith. An environment where every person feels they belong, that they are listened to, and where they are empowered to speak up. At PayU we have zero tolerance towards any form of prejudice whether a specific race, ethnicity, or of persons with disabilities or the LGBTQ communities.",Bengaluru,606842.0,/yr (est.),1001 to 5000 Employees,2002,Company - Private,Internet & Web Services,Information Technology,$10+ billion (USD),3.6,3.6,3.6,3.4,3.6
ABB,Data Scientist,4.0,"Data Scientist
Take your next career step at ABB with a global team that is energizing the transformation of society and industry to achieve a more productive, sustainable future. At ABB, we have the clear goal of driving diversity and inclusion across all dimensions: gender, LGBTQ+, abilities, ethnicity and generations. Together, we are embarking on a journey where each and every one of us, individually and collectively, welcomes and celebrates individual differences.

You will be working as Data Scientist and will be reporting to Data Analytics & BI Manager & will be a part of Bangalore, India. In this role you will be primarily responsible for delivering and implementing analytics strategy in one or more functional areas in alignment business stakeholders. Leveraging knowledge of advanced analytics to make business impact. Building and maintaining large-scale statistical models that turn billions of data points into insights and actions. Driving data-driven strategy and decision making for predictive analytics and optimization by leveraging AI and machine learning
Your responsibilities
Partnering with cross-functional and global teams to lead projects solving complex business problems using data science and advanced analytics to frame right questions and predict trends
Owning complete lifecycle of analytics project from requirement gathering, data extraction to reporting/ presenting the findings in IC role or with the team as per project needs
Using mathematics and business acumen to proactively work on methodologies and frameworks to connect business and people data together to identify and solve complex business problems and deliver impact on ABBs people experience, performance and culture
Developing interpret algorithms models knowledge in programming ML languages like Python, R and Snowflake & effectively using data mining algorithms such as clustering, decision trees, logistic regression, ARMIA, Bayesian networks, neural networks etc
Applying appropriate techniques, such as exploratory data analysis, regression, bootstrapping, trees, cluster analysis, survival analysis, forecasting techniques and developing statistical models to support HR Analytics offerings and solutions
Working on advanced statistical models to measure and improve on-going performance of employee metrics using unstructured data using NoSQL or Data lakes & Developing frameworks, plug n play solutions using predictive and machine learning techniques on Snowflake/ Python
Working with senior stakeholders to help them conceptualize People KPIs and build solutions from scratch, and have a strong bias towards creating clean, powerful, user-focused visualizations to deliver insights and analysis. Technologies used could vary from Power BI, Advanced Excel, VBA, or any other new technology
Your background
Bachelor’s/Master’s degree in Applied Statistics/Mathematics, Engineering, Operations Research or related field. Understanding of SAP/ Workday HCM system is an added advantage
2 – 4 years experience of developing end-to-end Decision Science solutions, ETL and reporting & data analysis as well as building data models for sentiment analysis using NLP and other text analysis technique
Should be able to generate actionable insights from data analysis that translate to valuable business decisions for the client & must have programing and coding experience in R, Python or MS Azure
Must have experience in Machine Learning, AI and Natural Language Processing & understanding of SDLC, ETL
Strong experience in finding data patterns and storytelling from disconnected data & business consulting experience will be good
More about us
ABB’s shared services organization which delivers operational and expert services in Finance, Human Resources, Information Systems, Legal, Global Travel Services and external Customer Contact Centers. With employees based in five main hubs and front offices, HR Services provides mainly Business services to ABB teams across the globe as well as supports with external customer inquiries. We look forward to receiving your application (documents submitted in English are appreciated). If you want to discover more about ABB, take another look at our website www.abb.com. It has come to our attention that the name of ABB is being used for asking candidates to make payments for job opportunities (interviews, offers). Please be advised that ABB makes no such requests. All our open positions are made available on our career portal for all fitting the criteria to apply. ABB does not charge any fee whatsoever for recruitment process. Please do not make payments to any individuals / entities in connection to recruitment with ABB, even if is claimed that the money is refundable. ABB is not liable for such transactions. For current open positions you can visit our career website https://global.abb/group/en/careers and apply. Please refer to detailed recruitment fraud caution notice using the link https://global.abb/group/en/careers/how-to-apply/fraud-warning. Work model: on site #LI-onsite",Bengaluru,773628.0,/yr (est.),10000+ Employees,1883,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.6,4.0,3.5,3.9
UBS,Reporting & Metrics Data Analyst,3.9,"India
Business management, administration and support
Group Functions
Job Reference #
286972BR
City
Pune
Job Type
Full Time
Your role
Do you want to drive the excellence of UBS products in alignment with our Data Management strategy? Are you an ambassador of the new ways of working and culture? Do you enjoy creating an environment where crews and pods dare to and feel encouraged to take responsibility for their own mission?

At UBS, we re-imagine the way we work, the way we connect with each other – our colleagues, clients and partners – and the way we deliver value. Being agile will make us more responsive, more adaptable, and ultimately more innovative.

We’re looking for an experienced data analyst to:
Design, develop and maintain a firm-wide metadata management metrics suite to provide a comprehensive view of the integrity of metadata to the top management and stakeholders
maintain strong relationships with our technology and service providers ensuring our metadata management requirements are met or exceeded
proactively seek ways for continuous innovation of the methods for governing and managing our metadata
lead by example in effective change management processes and documentation within the team
provide constructive challenge and impact assessments on process and tooling developments
face off to data management specialists within the Group Data Management Office and the Data Management teams in the bank’s business divisions and functions
deliver targeted technical and data management training to the metadata management teams where required
Your team
The Standards and Risk team is part of the Metadata Management stream within the Data Management Office (DMO). The team comprises of subject matter experts who drive best practice across areas of data standards, risks and metrics both within the Data Management Office and across business divisions and corporate functions. The team agenda is focused on subjects related to Data Lineage, Data Metrics, Data Dictionaries, Data Quality and Data Controls.
The DMO is responsible for embedding a data management culture into the organization by advocating for our strategy and proactively challenging the way the firm works with data. The DMO is made up of approximately 100 people, comprising UBS permanent staff and contractors. In our agile operating model, Streams are aligned to larger products and services fulfilling client needs and encompass multiple Crews with autonomous Pods. Your DMO colleagues are based in multiple locations, including UK, Switzerland, USA and India.
Your expertise
at least 4 years of experience, preferably within a data management / governance function
strong technical expertise in Collibra metamodel and reporting tools namely, PowerBI and Alteryx is essential
demonstrable experience of implementing reporting and metric dashboards, preferably to support identification and remediation of Data Quality and Integrity breaks.
proven experience of business analysis working with both business and technical teams in order to gather business requirements and translate to functional and technical requirements
excellent team player and individual contributor with emphasis on timely delivery, risk management and stakeholder management
excellent problem-solving ability, with a ""can do"" attitude
methodical, concise and accurate, with strong attention to detail
ability to drive change across the organization through focus on process excellence
collaborative mind-set, with ability to listen to different views and make decisions in a proactive manner
experienced in working with teams located in multiple locations using appropriate communication and planning skills
Use of data governance frameworks and regulatory alignment experience of the Financial Services sector (or equivalent) preferred

#LI-SS1
About us
UBS is the world’s largest and only truly global wealth manager. We operate through four business divisions: Global Wealth Management, Personal & Corporate Banking, Asset Management and the Investment Bank. Our global reach and the breadth of our expertise set us apart from our competitors.

With more than 70,000 employees, we have a presence in all major financial centers in more than 50 countries. Do you want to be one of us?
How we hire
This role requires an assessment on application. Learn more about how we hire: www.ubs.com/global/en/careers/experienced-professionals.html
Join us
At UBS, we embrace flexible ways of working when the role permits. We offer different working arrangements like part-time, job-sharing and hybrid (office and home) working. Our purpose-led culture and global infrastructure help us connect, collaborate, and work together in agile ways to meet all our business needs.

From gaining new experiences in different roles to acquiring fresh knowledge and skills, we know that great work is never done alone. We know that it's our people, with their unique backgrounds, skills, experience levels and interests, who drive our ongoing success. Together we’re more than ourselves. Ready to be part of #teamUBS and make an impact?
Disclaimer / Policy Statements
UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce.",Pune,806241.0,/yr (est.),10000+ Employees,1862,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),3.6,3.5,3.9,3.5,3.8
HP,Data Analyst-Finance,4.1,"Applies developed subject matter knowledge to solve common and complex business issues within established guidelines and recommends appropriate alternatives. Works on problems of diverse complexity and scope. May act as a team or project leader providing direction to team activities and facilitates information validation and team decision making process. Exercises independent judgment within generally defined policies and practices to identify and select a solution. Ability to handle most unique situations. May seek advice in order to make decisions on complex business issues.
Responsibilities
Participates as a member of team of other data science engineers carrying out the investigation, design, development, execution, and implementation of data science projects to generate new insights, products, technologies, and intellectual property.
Creates plans, data collection and analysis procedures and data insight visualizations for assigned projects.
Collaborates with internal and external partners to perform experiments and validations in accordance with overall plan.
Collaborates with SMEs to develop procedures for collecting, recording, analyzing, and communicating data for review and feedback.
Prepares literature and presentations for peer review, publication, and delivery at industry and scientific events and conferences; creates patent applications and supporting documentation.
Provides guidance and mentoring to less- experienced staff members.
Knowledge & Skills
Using scientific design and data collection methodologies, tools and analysis packages to collect, validate, and analyze research data.
Strong analytical and problem-solving skills.
Application and implementation of experimental design, scientific procedures and processes, and data analysis.
Excellent written and verbal communication skills; mastery in English and local language.
Ability to effectively communicate research plans, proposals, and results, and negotiate options at management levels.
Scope & Impact
Collaborates with peers, junior data scientists and engineers, SMEs and external and internal research and product development partners.
Typically interacts with high-level Individual Contributors, Managers and Program Core Teams.
Participates in projects requiring data science engineering.
Education & Experience
Bachelor's, Master's or PHD degree in Mathematics, Economics, Physics, Computer Science, or equivalent.
Typically 4-6 years’ experience including graduate or postgraduate research.

About HP

You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.
So are we. We love taking on tough challenges, disrupting the status quo, and creating what’s next. We’re in search of talented people who are inspired by big challenges, driven to learn and grow, and dedicated to making a meaningful difference.

HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.

Our history: HP’s commitment to diversity, equity and inclusion – it's just who we are.
From the boardroom to factory floor, we create a culture where everyone is respected and where people can be themselves, while being a part of something bigger than themselves. We celebrate the notion that you can belong at HP and bring your authentic self to work each and every day. When you do that, you’re more innovative and that helps grow our bottom line. Come to HP and thrive!",Bengaluru,869528.0,/yr (est.),10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.7,3.7,4.3,3.8,4.2
AlphaSense,Data Annotation Specialist,3.8,"About AlphaSense:
AlphaSense is a market intelligence and search platform used by the world's leading companies and financial institutions. Since 2011, our AI-based technology has helped professionals make smarter business decisions by delivering insights from an extensive universe of public and private content—including equity research, company filings, event transcripts, expert calls, news, trade journals, and clients' own research content.
Headquartered in New York City, AlphaSense employs over 1,500+ people across offices in the U.S., U.K., Finland, Germany, India, and Singapore.
For more information, please visit www.alpha-sense.com and check out the video clips.
1. The decision that matters -
2. India Office -

We are seeking a Junior Data Annotator to help make a big leap in annotation and analysis of data used for AI Model training.
The Role
You will join our engineering team of world-class software experts and AI research engineers and be responsible for data annotations, testing of the AlphaSense product and organizing production releases. You will work together with the team to ensure the overall functionality and quality of the assigned module.
Your responsibilities will include:
Take the ownership of organizing and annotating data for training AI models
Work with AI research engineers to provide high quality data annotations
Communicate the annotation project progress and timeline to project stakeholders
Work with AI research engineers to monitor AI model quality and verify quality issues.
Provide feedback to optimize annotation process and tools
Requirements:
MBA/ Masters degree in finance or a related field.
Basic understanding of financial concepts and data.
Strong communication skills.
Strong analytical skills, and attention to detail
Ability to work independently and as part of a team.
Proficient in workplace productivity tools such as GSuite and MS office.
What we offer:
Playing a part in the story of a fast-growing company
Competitive compensation package
Interesting career opportunities and training
Lunch and recreational benefits
Occupational health care
For more information, please contact Shivangi on LinkedIn or by email: shivangi.jaiswal@alpha-sense.com",Mumbai,464758.0,/yr (est.),1001 to 5000 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),3.7,4.0,3.7,3.4,3.6
Tridiagonal Solutions,Data Science Intern,3.4,"Tridiagonal Solutions Pvt. Ltd. (https://dataanalytics.tridiagonal.com/) is one of the premium consultants providing innovative process engineering and technologically advanced solutions to fortune 100 companies globally.
What we do: We leverage advanced Modeling & analytics, workflow automation, and data science techniques to provide solutions to the process industry verticals like Oil & gas, Energy & Power, food, pharma and Chemicals. We are one of the thought leaders in our space due to unique/niche expertise we possess and collaborate with process excellence teams of world’s largest corporate houses in the US and Europe such as Reliance, Pertamina, Exxon, Marathon, P&G, Unilever, Pfizer, J&J, Mondelez, Chevron, Shell, Adidas, etc.).
About an Opportunity: We are looking for some talented candidate who is willing to learn and explore the potential of Generative AI in the space of manufacturing industry. Being a data scientist, you will be the part of our incubation and innovation team, exploring latest techniques using Generative AI to identify and deploy opportunities of workflow automation and repetitive tasks of statistics and modeling.
Purpose: Our Process Data Analytics team work on providing the solutions using the data strategy, data aggregation / cleansing, advanced performance modelling using ML/AI framework and statistical methods (Python, R, Matlab). The role demands consulting approach to work with customers and help them with training, Proof of Concept (POC) and troubleshooting with analytics platform.
Essential Duties and Key Competencies:
Strong with NLP and OCR techniques
Experience in working with structured / Unstructured dataset
Experience in working with PDF – textual information, scanned images
Experience in working with OpenAI APIs
Very strong with python coding
Will be responsible for developing use cases using AWS and Azure Generative AI tech stacks
Strong understanding of Deep learning techniques
Good communication skills
Should be good with exploring new ideas related to application regarding manufacturing operations
Qualifications:
Bachelor’s degree in Computer science / Chemical engg. / Mech Engg.
Minimum 2 yrs of hands-on experience with coding in python
Strong coding experience in python
Optionally – Having an exposure of AWS and Azure tech stacks is added advantage
Strong with data science libraries and tools commonly used in the Jupyter ecosystem.
Knowledge of machine learning frameworks like TensorFlow or PyTorch
VALUES
Results and Accountability
Innovation
Transparency and Integrity
Inclusiveness
Sense of urgency
Collaboration and Teamwork
Teamwork
Education/Skills/Experience:
Bachelor’s degree in Computer science / Chemical engg. / Mech Engg.
Work Mode: Work from Office (Mandatory)
Location: Pune.
Contact Details:
Ms. Apeksha Jadhav (HR Manager) – apeksha.jadhav@tridiagonal.com or hr@tridiagonal.com",Pune,539530.5,/yr (est.),51 to 200 Employees,1995,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.4,2.8,3.0,2.9,3.2
Xplor,Data Analytics Engineer,3.4,"Company Description

Take a seat on the Xplor rocketship and join us as a Data Engineer to help people succeed across the world.
We’re a global team of builders, listeners and problem-solvers who are relentlessly focused on making life simple, so our customers can get back to growing their business, engaging consumers and doing what they love.

Job Description

As a member of the global data engineering team, reporting to the Data and Analytics Manager, this role has a primary focus on contributing to our enterprise data warehousing and reporting deliverables.
Responsibilities include designing, creating, and maintaining business intelligence assets and reports that drive innovation, client value and business efficiency.
This position will be working across our largest business units and experience with multi-terabyte database systems is required.
Key Responsibilities
The primary tasks, duties, and responsibilities are:
Maintaining and enhancing reporting and Power BI solutions.
Producing reporting stored procedures via T-SQL scripting and DAX.
Data Modelling and Transformation design.
ELT development.
Contribute to cloud migration and ensure system uptime for data warehouse products.
Participate in Agile work planning, testing, and quality assurance.

Qualifications

Technical Skills
Experienced level knowledge - Business Intelligence/reporting tools including Microsoft SQL, SRSS, SSIS, SSAS, Power BI, DAX.
Adept at designing and implementing effective data models and Extract, Transform, Load (ETL) processes slowly changing dimensions for transforming and loading data into the data warehouse.
Experience incorporating data from varied relational systems (e.g. MySQL, Postgres etc), flat-file, API, and No-SQL sources.
Understanding of data governance practices, data lineage, and data quality management to ensure accurate, consistent, and reliable data.
Familiarity with cloud base tooling – Snowflake, DBT or Coalesce, Fivetran.
Education/Qualifications
BA/BS degree in Computer Science, Computer Engineering, or related field, or equivalent practical experience.
Preferred Qualifications include:
Expertise in parallel processing warehouses (Snowflake/Redshift),
high-frequency differential ETL processes,
and Agile development methodology.

Additional Information

Ready to apply?
To start your application, please submit your resume and we will be in touch as soon as we can. Please include the word ""moonshot"" at the top of your message to the Hiring Manager so that we know you took the time to read our job ad.
We understand that diverse candidates have diverse needs. We welcome you to inform us of any additional needs related to completing your job application or participating in the interview process, via talent@xplortechnologies.com.
We kindly ask you to apply through our careers portal or external job boards (LinkedIn, Naukri, Indeed, etc) only. Please don't send your application via email. They will not be forwarded.
More about us
Xplor Technologies is a global platform integrating SaaS solutions, embedded payments, and Commerce Accelerating Technologies to help businesses succeed. Xplor provides enterprise-grade SaaS solutions for businesses in “everyday life” verticals: Childcare & Education; Fitness & Wellbeing, Field Services and Personal Services – and a global cloud-based payment processing platform.
Xplor Technologies serves over 78,000 customers that processed over $36 billion in payments, operating across 20 markets in 2022.
Good to know
To be considered for employment, you must be legally authorised to work in the location (country) you're applying for. Xplor does not sponsor visas, either at the time of hire or at any later time.
To learn more about us and our products, please visit www.xplortechnologies.com/us/careers.
We also invite you to check out our Candidate FAQs for more information about our recruitment process www.xplortechnologies.com/us/recruitment-faqs.
Xplor is committed to providing equal opportunities in employment and creating an inclusive work environment. We provide equal opportunities to all our employees and to all eligible applicants for employment in our company. We do not unfairly discriminate on any ground, including race, religion, color, ancestry, marital status, gender, sexual orientation, age, nationality, ethnic origin, disability or any other category protected by applicable law.
We are a 2024 Circle Back Initiative Employer – we commit to respond to every applicant.",Pune,611726.0,/yr (est.),1001 to 5000 Employees,1994,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,3.2,3.4,3.2,2.8,3.6
Universal Electronics Inc.,Software Engineer (Data Science),3.5,"At UEI you will be part of a world class team that is working to innovate and revolutionize the meaning of ‘wireless control’. Whether it’s via chips, software licenses or turnkey products, we are continuing to reinvent how consumers interact with devices and services in their home.
Each day we make the connected home smarter, easier to connect and use, and more sustainable. We delight our Fortune 100 customers such as Comcast, Apple, Samsung, Google, Vivint and Daikin with ground breaking wireless technology solutions such as advanced, voice-enabled remote controls, cloud control solutions, extreme low power Bluetooth silicon with energy harvesting capabilities, smart thermostats and sensors and many other IoT solutions.

Brief Summary of Responsibilities:
Work on end-to-end data science lifecycle from building Proof of concept model to production ready models
Analyze large amounts of information to discover trends and patterns, ability to manipulate data and draw insights from large data sets in terms of terabytes
Build models with machine-learning algorithms and Deep Learning
Strong Analytical, Problem Solving and Critical Thinking skills.
Propose solutions and strategies to business challenges.
Writing reusable, testable, and efficient code in Python
Support the front-end developers ML Ops team by integrating their work with the Python application.

Qualifications / Skills:
B.E. Computer science
Machine Learning and Deep learning experience of 2+ years.
Proficiency of various ML algorithms for supervised and unsupervised Learning. Including but not limited to ANN and CNN.
Good experience in Python: pandas, Scikit Learn. NumPy.
Familiar with statistical tests, distributions, maximum likelihood estimators, Hypothesis Testing, probability etc.
Very good knowledge of SQL, MS Word, Excel, Access, and PowerPoint
Communicate proficiently internally and externally, with technical and non-technical audiences

Good to have:
Present information using data visualization techniques
Knowledge of deployment of ML Models on Azure
Knowledge on distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark etc.


Universal Electronics Inc. (NASDAQ: UEIC) is the worldwide leader in universal control and sensing technologies for the smart home. Its broad portfolio of patents includes QuickSet® software that utilizes the world’s most complete knowledge graph to detect and interact with thousands of entertainment and smart home devices. The company designs, develops, and manufactures innovative products that are used by the world’s leading brands in the audio, video, subscription broadcasting, connected home, home energy management, and mobile device markets. UEI’s many first-to-market innovations have helped transform the home entertainment control, home security, and home energy management and sensing industries.

Universal Electronics Inc. is an equal employment opportunity employer. We are proud of our diverse workforce and we believe having diverse teams that everyone brings their whole self to work everyday is key to all of our success. We welcome all people of different experiences, backgrounds, perspectives and abilities.",Bengaluru,528092.0,/yr (est.),201 to 500 Employees,1995,Company - Public,Electronics Manufacturing,Manufacturing,$25 to $50 million (USD),3.5,2.8,3.0,3.0,3.6
Sandvik,Data Entry Operator,4.2,"Sandvik Mining & Rock Solutions, the leading global supplier of equipment and tools, service, and technical solutions for the mining industry, currently has an opening for a Data Entry Operator at the Udaipur location.
Key performance areas
We are now recruiting a Data Entry Operator who will works alongside the Site in charge to help in execution of the maintenance planning processes on site to achieve customer satisfaction internally and externally and ensure compliance with contractual requirements.
Job Responsibilities
1. Systems of work, which encompass Personnel Safety and Environmental diligence, are implemented using all relevant Sandvik and / or Client Procedures, Work Instructions and Risk Assessment methods as appropriate. All service engineers & technicians receive adequate instruction, training and Supervision to enable them to work safely. All tasks are planned considering safety in mind and work place safety is managed using communication and consultation.
2.Enter work done detail into MAXIMO/CMMS
3.Set up work orders in MAXIMO/CMMS for future planned work
4.Enter Condition monitoring information into MAXIMO/CMMS. This would typically be hour meter readings, Oil and Fuel Consumption’s wear pressure and flow measurements from work orders.
5.Check for Errors in the days capturing and make corrections.
6.Run and supply standard reports from the reporting system
7.Cross comparison along with site maintenance planner to ensure all work orders are returned and correctly filled in
8.Cross comparison to ensure all parts that were issued are reflected on work orders
9.Allocate work to capturers
10.Accountable for any errors in the system being rectified.
11.Manage the flow of paper work between different role players
12.Keep MAXIMO/CMMS system live.
Safety and Environment
Complies with SMC safety policies and applicable government, customer or industry regulations or requirements
Identifies and reports any unsafe work habits, workplace incidents and / or near misses
Maintains orderly warehouse and ensures housekeeping requirements are met
Personal Leadership
Ensures that all activities are carried out in accordance with Company Values and current Company Policies and Procedures
General
Performs other relevant duties as assigned by Manager
Your profile
Applicant will possess a Diploma/ B. Tech Degree (Mechanical, Electrical, Electronics , Electronics and communication ) with 3 years relevant experience with Computer Systems Literacy and knowledge of Excel ,word , Power point.
Other requirements include:
Ability to work as part of an integrated, broad team;
Must be flexible, self-motivated and demonstrate initiative;
Highly developed time management and organisational skills;
An understanding of the mining industry will be an advantage
Benefits
Sandvik offers a comprehensive total compensation package including a competitive benefits package of health, disability insurance, and a retirement savings plan. In addition, we provide opportunities for professional competence development and training, as well as opportunities for career advancement.",Udaipur,415692.0,/yr (est.),10000+ Employees,1862,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.9,4.0,3.5,3.9
