company,job_title,company_rating,job_description,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
ABB,Junior Data Analyst,4.0,"Junior Data Analyst
Take your next career step at ABB with a global team that is energizing the transformation of society and industry to achieve a more productive, sustainable future. At ABB, we have the clear goal of driving diversity and inclusion across all dimensions: gender, LGBTQ+, abilities, ethnicity and generations. Together, we are embarking on a journey where each and every one of us, individually and collectively, welcomes and celebrates individual differences.

You will be working as Junior Data Analyst and will be part of Process Automation Business Area for Measurement and Analytics division based in Bangalore, India. In this role you will be reporting to COE Data Management and Analytics Manager and will be responsible for performing data analytics activities and developing analytical solutions to enable business in strategy development for existing and potential products, systems or services.
Your responsibilities
Using data systems to help gather, measure, organize and analyze data, providing sound market and competitive intelligence analysis related to market and trends
Preparing analysis of internal sales, technical and financial data, interprets resulting data using statistical tools and making recommendations to Sales, Marketing, Finance and Product Management
Making diagnostic and predictive recommendations to management of existing gaps and new opportunities for growth, identifying global trends and patterns across various dimensions
Extracting and analyzing data from sales or financial tools and preparing reports for management to give insights on trends, patterns and predictions across geographies
Assisting in the development of analytical tools and solutions to support management to drive key business decisions. Training business stakeholders on proper usage of dashboards and monitors on-going data quality
Your background
B.E or B. Tech or BCA or Bachelor's in Data Science
Minimum 1 to 2 years of experience in Data Analytics and visualization
Hands on experience in Basic or Advanced Excel, Basic Statistics, ETL tools, Power BI(Basic),Basic SQL,ML and Python
Ability to adapt, problem solving skills and give recommendations to stakeholders
Effective time management while handling business critical tasks
Good teamwork and collaboration with cross functional teams to meet business deliverables
Good communication skills
More about us
ABB's Measurement & Analytics division is among the world's leading manufacturers and suppliers of smart instrumentation and analyzers. With thousands of experts around the world and high-performance digital technology, ABB's team is dedicated to making measurement easy for its industrial and energy customers to let them operate more efficiently and profitably. We look forward to receiving your application (documents submitted in English are appreciated). If you want to discover more about ABB, take another look at our website www.abb.com. It has come to our attention that the name of ABB is being used for asking candidates to make payments for job opportunities (interviews, offers). Please be advised that ABB makes no such requests. All our open positions are made available on our career portal for all fitting the criteria to apply. ABB does not charge any fee whatsoever for recruitment process. Please do not make payments to any individuals / entities in connection to recruitment with ABB, even if is claimed that the money is refundable. ABB is not liable for such transactions. For current open positions you can visit our career website https://global.abb/group/en/careers and apply. Please refer to detailed recruitment fraud caution notice using the link https://global.abb/group/en/careers/how-to-apply/fraud-warning Work model: on site #LI-onsite",Bengaluru,325236.0,/yr (est.),10000+ Employees,1883,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.6,4.0,3.5,3.9
Philips,Data Scientist - AI/ML,4.0,"Job Title
Data Scientist - AI/ML
Job Description
Job title: Data Scientist - AI/ML
Overall responsibilities
Provide support with guidance to solve complex problems in medical image processing and deliver PoC with TRL level ready for NPI program.
Support collaboration with clinical scientists, AD leader and universities to drive advanced development projects on medical image analytics from R&D perspective.
Support NPI development and address time-pressing complex LCM challenges with image processing / IQ using expertise.
Higher degree of learning attitude to absorb newer knowledge on medical image pre- and / or post-processing.
Specific responsibilities
Hands-on work in some of the following tools, packages, technical areas and modeling techniques:
Keras, Tensorflow, Pytorch, Scikit-learn, Scikit-image, OpenCV, pydicom
Matlab, python, R, Java/C/C++
Convolution Neural Networks, other statistical modeling & classification approaches (regression, SVM, PCA)
Opensource medical image visualization and segmentation tools like ITK, VTK
Medical image post-processing techniques such as noise reduction, contrast enhancement, bone suppression, stitching, ranging. Knowledge of overall IQ (image quality) analysis of diagnostic X-ray images is a plus.
Medical image pre-processing (gain, offset correction, EMI/EMC correction)
AI/ML modeling / computer vision using video from 3

About Philips
We are a health technology company. We built our entire company around the belief that every human matters, and we won't stop until everybody everywhere has access to the quality healthcare that we all deserve. Do the work of your life to help the lives of others.
Learn more about our business.
Discover our rich and exciting history.
Learn more about our purpose.

If you’re interested in this role and have many, but not all, of the experiences needed, we encourage you to apply. You may still be the right candidate for this or other opportunities at Philips. Learn more about our commitment to diversity and inclusion here.",Bengaluru,539530.5,/yr (est.),10000+ Employees,1891,Company - Public,Healthcare Services & Hospitals,Healthcare,$10+ billion (USD),3.8,3.7,4.0,3.5,4.0
HSBC,Data Science GSC’s,3.9,"Job description
Graduate/ Post-graduate degree with relevant field (Finance/Economics/Operation Research/Statistics/Mathematics/ B.Tech/ MBA/ Data Science)
Certification courses in Data Science/Risk Management or similar areas will be added advantage
Excellent coding skills in latest statistical packages/apps SAS/R/Python
Term papers with demonstrated skills set in modelling, forecasting and optimization
Excellent quantitative aptitude and hands-on proficiency with analytical tools such as SAS, R, Python
Highly focused on project delivery, attention to detail
Excellent written and verbal communication skills
Strong collaborative, influencing skills
Strong analytical and problem solving skills, open minded, flexible, pragmatic
Requirements
Qualifications - External

Graduate/ Post-graduate degree with relevant field (Finance/Economics/Operation Research/Statistics/Mathematics/ B.Tech/ MBA/ Data Science)
Certification courses in Data Science/Risk Management or similar areas will be added advantage
Excellent coding skills in latest statistical packages/apps SAS/R/Python
Term papers with demonstrated skills set in modelling, forecasting and optimization
Excellent quantitative aptitude and hands-on proficiency with analytical tools such as SAS, R, Python
Highly focused on project delivery, attention to detail
Excellent written and verbal communication skills
Strong collaborative, influencing skills
Strong analytical and problem solving skills, open minded, flexible, pragmatic
You’ll achieve more at HSBC


HSBC is an equal opportunity employer committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and, opportunities to grow within an inclusive and diverse environment. We encourage applications from all suitably qualified persons irrespective of, but not limited to, their gender or genetic information, sexual orientation, ethnicity, religion, social status, medical care leave requirements, political affiliation, people with disabilities, color, national origin, veteran status, etc., We consider all applications based on merit and suitability to the role.”
Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.

***Issued by HSBC Electronic Data Processing (India) Private LTD***",Bengaluru,539530.5,/yr (est.),10000+ Employees,1865,Company - Public,Banking & Lending,Finance,$10+ billion (USD),3.6,3.6,3.8,3.4,3.7
JPMorgan Chase & Co,Data and Analytics - Associate,4.0,"JOB DESCRIPTION

You are a strategic thinker passionate about driving solutions in Data Domain. You have found the right team.
This position will assist in the sourcing, development, management, and maintenance of the analytics data for the Consumer and Business Banking Business. The role requires a strong techno-functional and analytical background with a focus on joining business, operational and financial metrics from multiple data sources. Interaction between Finance, Information Technology, and other groups are required to ensure the infrastructure fully meets business and ongoing reporting requirements. The activities of this role include analyzing consumer behaviors and the impact of the economy and competition on our business. The mission is to liberate our stakeholders from manual, inefficient, tedious activities through automation and by transforming how we see and understand data. By using the latest innovative software, we employ data visualization techniques to navigate the storyline, generate the right insights, and answer questions quickly.
Job Responsibilities:
Work closely with the business users/analysts to understand requirements and functional needs
Translate business requirements into prototype solutions for new/enhancement requests, with appropriate standards to the IT team
Work closely with end-users/IT during the UAT phase of the project and validate that production results comply with business requirements and expected results
Work with IT to migrate to production the developed solutions and as an SME/escalation point for the deployed solutions
Locate and define new process improvement opportunities
Provide a high level of responsiveness to ad-hoc requests, “what-if” scenario data analytics, and regulatory inquiries
Utilize project management best practices to track book of work priorities, communicate updates, and manage projects to successful completion; explain data concepts & challenges clearly to non-technical stakeholders
Required qualifications, capabilities and skills:
8+ years of total experience within MIS, Business Intelligence, and/or Analytics roles
Must have the ability to write advanced SQL queries for analysis of large datasets
Must have demonstrated knowledge of Excel including but not limited to Pivot, Vlookup, etc.
Must have demonstrated knowledge of one or more data & business intelligence concepts including ETL, Data Modeling, Reporting Automation, and/or Dashboarding
Proven experience delivering timely, high quality analysis from diverse, complex data sources.
Attention to detail a must, team player, excellent communication, project management and client partnership ability
Self-starter; demonstrated ability to complete assigned tasks independently with minimum supervision
Preferred qualifications, capabilities and skills
Finance/Accounting environment experience a plus
Big Data/Tableau experience a plus
Alteryx, Python knowledge a plus
ABOUT US

JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world’s most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as any mental health or physical disability needs.



ABOUT THE TEAM
Our Consumer & Community Banking division serves our Chase customers through a range of financial services, including personal banking, credit cards, mortgages, auto financing, investment advice, small business loans and payment processing. We’re proud to lead the U.S. in credit card sales and deposit growth and have the most-used digital solutions – all while ranking first in customer satisfaction.


The CCB Data & Analytics team responsibly leverages data across Chase to build competitive advantages for the businesses while providing value and protection for customers. The team encompasses a variety of disciplines from data governance and strategy to reporting, data science and machine learning. We have a strong partnership with Technology, which provides cutting edge data and analytics infrastructure. The team powers Chase with insights to create the best customer and business outcomes.",India,539530.5,/yr (est.),10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4.0,3.9,3.9,3.6,3.7
Beinex,Trainee in Data Science,3.9,"Highlights
Experience
Freshers
Joining Date
Immediate
Qualification
Preferably a bachelor’s degree or a master's degree in Engineering, Statistics or Mathematics.
Job Description
A spectacular opportunity awaits those who are passionate about Data Science. We are looking for graduates, to be given training in both the domains mentioned. This will be followed by absorption if you are able to prove your competency over the duration of training. You may be a graduate in Engineering, Mathematics or Statistics. It will be a remote and online training program conducted directly from Kochi, India. Remember, all you need to prove is you are worthy of the role over the 3-month duration by showcasing your attitude, talent, skills, and EQ. The hands-on training program is completely free. You will start receiving the best-in-class salary after the training is done with and you are absorbed; by that time, you would have proven your mettle and suitability to our complete satisfaction. Please note that no payment will be provided over the training period to the candidates selected. We will impart you the requisite knowledge and exposure to an awesome work culture that will kickstart your career once and for ever. Candidates who complete the training to our satisfaction will be provided with a certificate of completion.
Responsibilities
Developing and implementing data analyses, data collection systems and other strategies that optimize statistical efficiency and quality
Interpreting data, analysing results using statistical techniques
Identify, analyse, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with the team to prioritize business and information needs
Acquiring data from primary or secondary data sources and maintaining databases
Key Skills Requirements
Analytical Skills: Business analysts work with large amounts of data: facts, figures, and number crunching. You will need to see through the data and analyse it to find conclusions
Communication Skills: Business analysts are often called to present their findings, or translate the data into an understandable document. You will need to write and speak clearly, easily communicating complex ideas
Critical Thinking: Business analysts must look at the numbers, trends, and data and come to new conclusions based on the findings
Attention to Detail: Data is precise, analysts have to make sure they are vigilant in their analysis to come to correct conclusions
Math Skills: Data analysts need math skills to estimate numerical data.
Adeptat queries, report writing and presenting findings
Conscious listening and storytelling skills
Ability to collaborate effectively and work as part of a team
Knowledge of statistics and experience using statistical packages for analysing datasets (R, SPSS, SAS & Python) and visualization tools (Tableau, Power BI) is an added advantage.

Perks: Careers at Beinex
Comprehensive Health Plans
Learning and development
Workation and outdoor training
Hybrid working environment
On-site travel Opportunity
Beinex Branded Merchandise",Cochin,280977.0,/yr (est.),201 to 500 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.8,3.6,3.9,3.9,3.5
Oracle,Data Scientist,3.8,"The data science team at Oracle Analytics works on diverse data science/ML problems on enterprise data such as invoice payment prediction, churn prediction, demand prediction and recommender systems. We use a combination of technologies including text processing, information retrieval, natural language processing (including large language models) and time series prediction.
As a member of the Data Science team, you will perform the following tasks
Understand background literature/relevant research papers in the problem domains
Processing, cleansing and verification of data (Data Engineering)
Perform Adhoc analysis and visualization of data
Develop machine learning models using pyspark, scikit-learn, keras, tensorflow, pytorch etc.
Work on data pipelines for deploying the machine learning models (e.g. using Oracle DataFlow)
Post deployment analysis of ML models
Good programming/software skills in Python/Pyspark and prior industrial experience in data science/machine learning is required for this position. Experience in creating/deploying models in Spark environments is desirable.

Interacts with product and service teams to identify questions and issues for data analysis and experiments. Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product, service, and business managers.",Bengaluru,709930.0,/yr (est.),10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),3.6,3.5,3.7,3.5,4.0
PhonePe,Data Scientist,4.1,"About PhonePe Group:
PhonePe is India’s leading digital payments company with 50 crore (500 Million) registered users and 3.7 crore (37 Million) merchants covering over 99% of the postal codes across India. On the back of its leadership in digital payments, PhonePe has expanded into financial services (Insurance, Mutual Funds, Stock Broking, and Lending) as well as adjacent tech-enabled businesses such as Pincode for hyperlocal shopping and Indus App Store which is India's first localized App Store. The PhonePe Group is a portfolio of businesses aligned with the company's vision to offer every Indian an equal opportunity to accelerate their progress by unlocking the flow of money and access to services.
Culture
At PhonePe, we take extra care to make sure you give your best at work, Everyday! And creating the right environment for you is just one of the things we do. We empower people and trust them to do the right thing. Here, you own your work from start to finish, right from day one. Being enthusiastic about tech is a big part of being at PhonePe. If you like building technology that impacts millions, ideating with some of the best minds in the country and executing on your dreams with purpose and speed, join us!
Responsibilities
We plan to expand our data science team, and we are looking for senior data scientists who will work on applications related to financial services. They will work in a dynamic environment, and with cross-functional teams to assist those teams in every possible manner to ensure that our products help our users derive most value. They will be expected to work with product, business, & engineering teams to
Help them understand what data science can do for them and set the right expectations,
Analyze large volumes of data, and implement and deploy solutions as necessary,
Be able to clearly communicate results and recommendations to various stakeholders,
Evaluate the effectiveness of the solutions and improve upon them in a continuous manner.
We expect them to have a mix of a strong technical background, the ability to understand the business implications of their work, and the ability to empathize with our users and work towards helping PhonePe give them the best experience, and help and mentor junior members to become better data scientists.
Qualifications
A Bachelor's or higher degree in a quantitative discipline (computer science, statistics,
engineering, applied mathematics)
1-3 yrs of relevant experience.
Specific technical skills include
o Expertise in Java, Python, R, shell scripting languages.
o Expertise in querying relational, non-relational, graph databases.
o Ability to clearly communicate and work with people of different backgrounds.
o Experience in big data technologies (Spark, MapReduce, Pig, Hive)
o Experience using machine learning (structured, text, video data) libraries
(preferably in Python), deep learning (Tensorflow, PyTorch)
o Experience using visualization libraries
Good to have: Hands-on experience with source control and deployment tools (Git,
Jenkins, etc.)
PhonePe Full Time Employee Benefits (Not applicable for Intern or Contract Roles)
Insurance Benefits - Medical Insurance, Critical Illness Insurance, Accidental Insurance, Life Insurance
Wellness Program - Employee Assistance Program, Onsite Medical Center, Emergency Support System
Parental Support - Maternity Benefit, Paternity Benefit Program, Adoption Assistance Program, Day-care Support Program
Mobility Benefits - Relocation benefits, Transfer Support Policy, Travel Policy
Retirement Benefits - Employee PF Contribution, Flexible PF Contribution, Gratuity, NPS, Leave Encashment
Other Benefits - Higher Education Assistance, Car Lease, Salary Advance Policy
Working at PhonePe is a rewarding experience! Great people, a work environment that thrives on creativity, the opportunity to take on roles beyond a defined job description are just some of the reasons you should work with us. Read more about PhonePe on our blog.",Bengaluru,1024695.0,/yr (est.),5001 to 10000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.2,4.1,3.7,3.8
Hyqoo,Data Annotator,4.5,"We are looking for a detail-oriented and skilled Data Annotator to join our team. As a Data Annotator, you will play a crucial role in preparing labeled data for training and evaluating machine learning models, particularly in the field of image analysis. Your work will be essential in ensuring the accuracy and quality of the data used to develop cutting-edge AI applications. If you have expertise in Python, Java, and image analysis, and are passionate about contributing to the advancement of AI technology, we encourage you to apply.
Responsibilities:
Annotate data, including images, videos, or text, according to established guidelines and requirements. This may involve tasks such as object detection, image classification, semantic segmentation, and more.
Ensure the accuracy and consistency of annotated data by conducting quality checks and revisions as needed. Maintain high data quality standards.
Prepare and clean raw data for annotation, ensuring it is in a suitable format for analysis. Collaborate with data engineers when necessary.
Utilize annotation tools and software to efficiently label and annotate data. Provide feedback on tool improvements and usability.
Perform basic data analysis and visualization tasks to gain insights into the annotated datasets, identify patterns, and assist in refining annotation guidelines.
Document the annotation process, guidelines, and any specific instructions for data labeling to ensure consistency among annotators.
Collaborate closely with data scientists, machine learning engineers, and project managers to understand project goals and data requirements.
Manage and prioritize annotation tasks to meet project deadlines and goals.
Provide feedback and suggestions for improving annotation guidelines, tools, and processes to enhance efficiency and accuracy.
Qualifications:
Bachelor's degree in Computer Science, Data Science, or a related field.
Proven experience in data annotation, particularly in image analysis and annotation.
Proficiency in programming languages such as Python and Java.
Familiarity with annotation tools and software used in image analysis and machine learning projects.
Strong attention to detail and the ability to maintain data quality and consistency.
Basic knowledge of image analysis techniques and computer vision concepts.
Effective communication skills and the ability to work as part of a collaborative team.
Time management skills to meet project deadlines and handle multiple tasks.
A commitment to accuracy and thoroughness in data labeling.
Knowledge of data privacy and confidentiality principles.
Experience with version control systems (e.g., Git) is advantageous.",Remote,539530.5,/yr (est.),51 to 200 Employees,2018,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.3,4.1,4.5,4.2,3.9
BigShyft,Data Scientist,3.9,"GeoIQ
Minicorn
Bengaluru/ Bangalore
1-3 yrsExperience
15L - 25LSalary
Seed
Start-up
11-50 employees

Why this job may interest you
GeoIQ is a web-based analytics platform
Raised a total of $11.5M in funding over 3 rounds
Job Description
What you’ll do:
As a Data Scientist at GeoIQ, you will play a crucial role in extracting valuable insights from vast and complex datasets to support our hyperlocal location AI platform and enable businesses to make precise and data-driven decisions.
Collaborate with cross-functional teams to understand business requirements and define data science project objectives.
Collect, clean, and preprocess large-scale datasets from diverse sources to ensure data quality and suitability for analysis.
Develop and implement machine learning algorithms and predictive models to solve business problems and optimize decision-making processes.
Conduct in-depth data analysis, exploratory data analysis, and statistical hypothesis testing to identify patterns, trends, and insights.
Use advanced statistical techniques and mathematical modeling to uncover relationships between variables and predict outcomes.
Create and maintain data pipelines and automation processes for efficient data ingestion, transformation, and storage.
Build and deploy data-driven dashboards, visualizations, and interactive reports to communicate findings to stakeholders effectively.
Continuously monitor model performance, conduct A/B testing, and fine-tune models to improve accuracy and efficiency.
Collaborate with software engineers to integrate machine learning models into production systems.
What makes you a great fit:
Proficient in Python
Work experience 1+ years
Prior experience with building ML models
Prior experience with SQL
Knowledge of statistical techniques
Experience with working on Spatial Data will be an added advantage.
About GeoIQ
GeoIQ is a locational intelligence platform that tells the value of each location - people, their behaviours, businesses, and potentials - as easily consumable layers on maps.

GeoIQ has over 25 clients across retail and logistics including Sanofi, Eko Financial, Bounce, Curefit, etc.
A strong blend of ML capabilities, data engineering, geo-spatial expertise and a state-of-the-art product is driving GeoIQ
Company Type
Start-up

http://www.geoiq.ai
Company Size
11-50 employees
Headquarters
Bangalore, Karnataka, India",Bengaluru,2000000.0,/yr (est.),1 to 50 Employees,2018,Company - Private,HR Consulting,Human Resources & Staffing,Less than $1 million (USD),3.7,3.8,3.5,3.3,3.1
Findem,Researcher - Data Operations Intern,4.3,"India (Remote)
Others /
Intern
/ Remote
What is Findem:

Findem is HR 2.0. We’re a fast-growth startup with an ambitious vision and the technology to back it up. Our People Intelligence platform uses true AI and machine learning to provide critical solutions for talent acquisition and people analytics functions. With the deep insights that our platform provides, companies can build more engaged and diverse teams, and close their talent gaps faster. We have an amazing opportunity to establish ourselves as leaders in this space, and we need strong advocates to help us achieve that goal.

We’re backed by top-tier investors including Wing Venture Capital – the same firm that backed Snowflake, Cohesity, and Gong. Findem powers businesses across scaling, pre-IPO, and publicly traded companies who trust us to solve their biggest HR and Talent challenges. We have an incredibly skilled and collaborative team that values curiosity, diversity, openness and building great experiences every day for our customers. By joining Findem, you will have the unique opportunity to help define what the future of HR looks like for every business.

Selected intern's day-to-day responsibilities include:

1. Carrying out data research activities on the internet or our proprietary system
2. Updating data fields using internal tools
3. Performing any other secondary data research activity as required

Work timings: 5-6 hours a day, 5 days a week
Duration- 6 months

Skill(s) required
MS-Excel, Research and Analytics

Who can apply
Only those candidates can apply who:
1. are available for the work-from-home
2. can start the internship immediately
3. are available for 6 months
4. have relevant skills and interests
5. Non BE/ B.Tech graduates
Women wanting to start/restart their career can also apply.

Perks
Certificate, Letter of recommendation, Flexible work hours, 5 days a week
₹8,000 - ₹10,000 a month
The role is full-time and comes with full benefits. We are globally headquartered in the San Francisco Bay Area with our India headquarters in Bengaluru, but this role can be fully remote.

Equal Opportunity

As an equal opportunity employer, we do not discriminate on the basis of race, color, religion, national origin, age, sex (including pregnancy), physical or mental disability, medical condition, genetic information, gender identity or expression, sexual orientation, marital status, protected veteran status or any other legally-protected characteristic.",Remote,9000.0,/mo (est.),51 to 200 Employees,2019,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.2,4.3,4.1,4.2,4.0
